"","iso3c","iso2c","country","year","GINI","GDPPerCapPPP","CO2EmPerCap","region","capital","longitude","latitude","income","lending","EPI.2012"
"104","LAO","LA","Lao PDR",2012,37.89,4580.94739748603,0.333670062798835,"East Asia & Pacific (all income levels)","Vientiane","102.177","18.5826","Lower middle income","IDA",40.37
"110","LKA","LK","Sri Lanka",2012,39.16,10164.3563482885,0.794480757931845,"South Asia","Colombo","79.8528","6.92148","Lower middle income","Blend",53.88
"112","LTU","LT","Lithuania",2012,35.15,24475.0507509952,4.62950967158482,"Europe & Central Asia (all income levels)","Vilnius","25.2799","54.6896","Upper middle income","Not classified",61.26
"113","LUX","LU","Luxembourg",2012,34.79,90788.2865762064,20.0842194874808,"Europe & Central Asia (all income levels)","Luxembourg","6.1296","49.61","High income: OECD","Not classified",83.29
"114","LVA","LV","Latvia",2012,35.48,21122.2982149326,3.47174754795094,"Europe & Central Asia (all income levels)","Riga","24.1048","56.9465","Upper middle income","Not classified",64.05
"118","MDA","MD","Moldova",2012,29.16,4226.95918930562,1.38355238446543,"Europe & Central Asia (all income levels)","Chisinau","28.8497","47.0167","Lower middle income","IDA",53.36
"119","MDG","MG","Madagascar",2012,42.65,1399.5143248094,0.119581164561141,"Sub-Saharan Africa (all income levels)","Antananarivo","45.7167","-20.4667","Low income","IDA",26.7
"121","MEX","MX","Mexico",2012,48.07,16289.5652780893,3.9393729203234,"Latin America & Caribbean (all income levels)","Mexico City","-99.1276","19.427","Upper middle income","IBRD",55.03
"127","MNE","ME","Montenegro",2012,32.18,13812.695943286,3.76389822124038,"Europe & Central Asia (all income levels)","Podgorica","19.2595","42.4602","Upper middle income","IBRD",55.52
"128","MNG","MN","Mongolia",2012,33.75,9990.03804907011,11.6538548230823,"East Asia & Pacific (all income levels)","Ulaanbaatar","106.937","47.9129","Lower middle income","IDA",44.67
"132","MUS","MU","Mauritius",2012,35.84,16961.1109505936,3.24104493893535,"Sub-Saharan Africa (all income levels)","Port Louis","57.4977","-20.1605","Upper middle income","IBRD",58.09
"140","NLD","NL","Netherlands",2012,27.99,46448.884799242,10.1091682571408,"Europe & Central Asia (all income levels)","Amsterdam","4.89095","52.3738","High income: OECD","Not classified",77.75
"141","NOR","NO","Norway",2012,25.9,65399.836084667,9.94098023481974,"Europe & Central Asia (all income levels)","Oslo","10.7387","59.9138","High income: OECD","Not classified",78.04
"146","PAN","PA","Panama",2012,51.9,18663.1681828035,2.69361479004669,"Latin America & Caribbean (all income levels)","Panama City","-79.5188","8.99427","Upper middle income","IBRD",56.84
"147","PER","PE","Peru",2012,45.11,11051.2537713681,1.80779785168943,"Latin America & Caribbean (all income levels)","Lima","-77.0465","-12.0931","Upper middle income","IBRD",45.05
"148","PHL","PH","Philippines",2012,43.04,6153.07044864692,0.951071109856615,"East Asia & Pacific (all income levels)","Manila","121.035","14.5515","Lower middle income","IBRD",44.02
"151","POL","PL","Poland",2012,32.39,23598.5592763806,7.88060078242576,"Europe & Central Asia (all income levels)","Warsaw","21.02","52.26","High income: OECD","IBRD",69.53
"153","PRT","PT","Portugal",2012,36.04,27125.1544347714,4.38058681612395,"Europe & Central Asia (all income levels)","Lisbon","-9.13552","38.7072","High income: OECD","Not classified",75.8
"154","PRY","PY","Paraguay",2012,48.17,7447.17472643709,0.816273360043216,"Latin America & Caribbean (all income levels)","Asuncion","-57.6362","-25.3005","Lower middle income","IBRD",39.25
"158","ROU","RO","Romania",2012,34.88,18910.2782731779,4.07431545512808,"Europe & Central Asia (all income levels)","Bucharest","26.0979","44.4479","Upper middle income","IBRD",50.52
"159","RUS","RU","Russian Federation",2012,41.59,25316.6357856942,12.8183452615457,"Europe & Central Asia (all income levels)","Moscow","37.6176","55.7558","Upper middle income","IBRD",53.45
"167","SLV","SV","El Salvador",2012,41.8,7859.86073025114,1.18544874677899,"Latin America & Caribbean (all income levels)","San Salvador","-89.2073","13.7034","Lower middle income","IBRD",43.79
"173","SVK","SK","Slovak Republic",2012,26.12,26091.2798285454,6.05902290100616,"Europe & Central Asia (all income levels)","Bratislava","17.1073","48.1484","High income: OECD","Not classified",74.45
"174","SVN","SI","Slovenia",2012,25.59,28481.751314373,7.25678326274245,"Europe & Central Asia (all income levels)","Ljubljana","14.5044","46.0546","High income: OECD","Not classified",76.43
"175","SWE","SE","Sweden",2012,27.32,44433.7266901677,4.94230082776452,"Europe & Central Asia (all income levels)","Stockholm","18.0645","59.3327","High income: OECD","Not classified",78.09
"182","THA","TH","Thailand",2012,39.26,14853.3296826122,4.54443085915056,"East Asia & Pacific (all income levels)","Bangkok","100.521","13.7308","Upper middle income","IBRD",52.83
"183","TJK","TJ","Tajikistan",2012,30.52,2386.32747375318,0.385151726865793,"Europe & Central Asia (all income levels)","Dushanbe","68.7864","38.5878","Low income","IDA",31.34
"189","TUR","TR","Turkey",2012,40.17,18449.250016041,4.40299537254827,"Europe & Central Asia (all income levels)","Ankara","32.3606","39.7153","Upper middle income","IBRD",54.91
"192","UGA","UG","Uganda",2012,41.01,1696.49442433506,0.115394532638129,"Sub-Saharan Africa (all income levels)","Kampala","32.5729","0.314269","Low income","IDA",39.18
"193","UKR","UA","Ukraine",2012,24.74,8472.20112920609,6.48720066325535,"Europe & Central Asia (all income levels)","Kiev","30.5038","50.4536","Lower middle income","IBRD",49.01
"194","URY","UY","Uruguay",2012,41.32,18817.8749217256,2.55963768928739,"Latin America & Caribbean (all income levels)","Montevideo","-56.0675","-34.8941","Upper middle income","IBRD",53.61
"200","VNM","VN","Vietnam",2012,38.7,5000.76485438209,1.78169660350504,"East Asia & Pacific (all income levels)","Hanoi","105.825","21.0069","Lower middle income","Blend",38.17
